CISP;mes;vano;mes_ano;AISP;RISP;munic;mcirc;Regiao;armas_apreendidas
1;1;2003;2003m1;5;1;Rio de Janeiro;3304557;Capital;4
4;1;2003;2003m1;5;1;Rio de Janeiro;3304557;Capital;5
5;1;2003;2003m1;5;1;Rio de Janeiro;3304557;Capital;9
6;1;2003;2003m1;1;1;Rio de Janeiro;3304557;Capital;7
7;1;2003;2003m1;1;1;Rio de Janeiro;3304557;Capital;1
9;1;2003;2003m1;2;1;Rio de Janeiro;3304557;Capital;3
10;1;2003;2003m1;2;1;Rio de Janeiro;3304557;Capital;1
12;1;2003;2003m1;19;1;Rio de Janeiro;3304557;Capital;3
13;1;2003;2003m1;19;1;Rio de Janeiro;3304557;Capital;5
14;1;2003;2003m1;23;1;Rio de Janeiro;3304557;Capital;3
15;1;2003;2003m1;23;1;Rio de Janeiro;3304557;Capital;1
16;1;2003;2003m1;36;6;Rio de Janeiro;3304557;Capital;8
17;1;2003;2003m1;4;1;Rio de Janeiro;3304557;Capital;7
18;1;2003;2003m1;6;1;Rio de Janeiro;3304557;Capital;7
19;1;2003;2003m1;6;1;Rio de Janeiro;3304557;Capital;9
20;1;2003;2003m1;6;1;Rio de Janeiro;3304557;Capital;6
21;1;2003;2003m1;22;1;Rio de Janeiro;3304557;Capital;27
22;1;2003;2003m1;16;1;Rio de Janeiro;3304557;Capital;14
23;1;2003;2003m1;3;1;Rio de Janeiro;3304557;Capital;3
24;1;2003;2003m1;3;1;Rio de Janeiro;3304557;Capital;21
25;1;2003;2003m1;3;1;Rio de Janeiro;3304557;Capital;43
26;1;2003;2003m1;3;1;Rio de Janeiro;3304557;Capital;0
27;1;2003;2003m1;9;2;Rio de Janeiro;3304557;Capital;10
28;1;2003;2003m1;9;2;Rio de Janeiro;3304557;Capital;7
29;1;2003;2003m1;9;2;Rio de Janeiro;3304557;Capital;4
30;1;2003;2003m1;9;2;Rio de Janeiro;3304557;Capital;6
31;1;2003;2003m1;14;2;Rio de Janeiro;3304557;Capital;0
32;1;2003;2003m1;18;2;Rio de Janeiro;3304557;Capital;21
33;1;2003;2003m1;14;2;Rio de Janeiro;3304557;Capital;40
34;1;2003;2003m1;14;2;Rio de Janeiro;3304557;Capital;70
35;1;2003;2003m1;31;2;Rio de Janeiro;3304557;Capital;36
36;1;2003;2003m1;27;2;Rio de Janeiro;3304557;Capital;12
