"aisp";"mes";"vano";"nome_comandante_bpm"
1;6;2002;"TEN CEL JORGE BRAGA"
2;6;2002;"TEN CEL CELSO DE ARAÚJO"
3;6;2002;"TEN CEL FRANCISCO MURILO LEITE LIRA"
4;6;2002;"TEN CEL ADILSON THEODORO SOARES"
5;6;2002;"TEN CEL HÉLIO LUIZ AZEVEDO NEVES"
6;6;2002;"TEN CEL IPURINAN CALIXTO NERY"
7;6;2002;"TEN CEL RICARDO DA SILVEIRA FURTADO"
8;6;2002;"TEN CEL MÁRIO DOS SANTOS PINTO"
9;6;2002;"TEN CEL ANTONIO CARLOS SUARES DAVID"
10;6;2002;"CEL WANDERLEI PEREIRA DE ALMEIDA"
11;6;2002;"CEL JOSÉ ALBERTO MARQUES DA FONSECA"
12;6;2002;"CEL MARCÍLIO FARIA DA COSTA"
13;6;2002;"TEN CEL SIDNEI COUTINHO TEIXEIRA"
14;6;2002;"CEL JOSÉ CRISPINIANO BELTRÃO LESSA"
15;6;2002;"TEN CEL DINALDO CARNEIRO DE MACEDO"
16;6;2002;"TEN CEL RONALDO ANTONIO DE MENEZES"
17;6;2002;"TEN CEL ALCIDES MENEZES DE AZEVEDO"
18;6;2002;"TEN CEL MARCO AURÉLIO DE MOURA"
19;6;2002;"TEN CEL DARIO CONY DOS SANTOS"
20;6;2002;"CEL FRANCISCO D' AMBRÓSIO"
21;6;2002;"CEL CARLOS ALBERTO VICTORIANO GUEDES"
22;6;2002;"TEN CEL CARLOS AUGUSTO CARRIJO DA SILVA"
23;6;2002;"TEN CEL UBIRATAN DE OLIVEIRA ANGELO"
24;6;2002;"TEN CEL EDUARDO LUIZ DA FONSECA PINTO"
25;6;2002;"TEN CEL ADILSON OLIVEIRA DO NASCIMENTO"
26;6;2002;"CEL ANTONIO CAMILO BRANCO DE FARIA"
27;6;2002;"TEN CEL JOSÉ DE OLIVEIRA PENTEADO"
28;6;2002;"CEL RENATO SILVA HOTTZ"
29;6;2002;"TEN CEL JORGE ROMEU PEREIRA DO NASCIMENTO"
30;6;2002;"TEN CEL EDSON EURICO DOS SANTOS"
31;6;2002;"TEN CEL MAURO GONÇALVES TEIXEIRA"
32;6;2002;"TEN CEL MARCOS FALIO CORREA"
33;6;2002;"MAJ HIRAN JORGE FIGUEIREDO DE CARVALHO"
34;6;2002;"MAJ MAURÍCIO SANTOS DE MORAES"
35;6;2002;"MAJ ROMÃO ROBERTO DE MELLO VILAÇA"
36;6;2002;"MAJ WEBER GUTTEMBERG COLLYER"
37;6;2002;"MAJ JOÃO GILBERTO DA SILVA GUIMARAES"
38;6;2002;"MAJ DALMO SIQUEIRA GOMES"
39;6;2002;"CEL JOSÉ AURÉLIO BRAZUNA MACIEL"
1;7;2002;"TEN CEL JORGE BRAGA"
2;7;2002;"TEN CEL CELSO DE ARAÚJO"
3;7;2002;"TEN CEL PAULO AUGUSTO DO COUTO MOUZINHO"
4;7;2002;"TEN CEL ADILSON THEODORO SOARES"
5;7;2002;"TEN CEL HÉLIO LUIZ AZEVEDO NEVES"
6;7;2002;"TEN CEL FRANCISCO MURILO LEITE LIRA"
7;7;2002;"TEN CEL RICARDO DA SILVEIRA FURTADO"
8;7;2002;"TEN CEL MÁRIO DOS SANTOS PINTO"
9;7;2002;"TEN CEL ANTONIO CARLOS SUARES DAVID"
10;7;2002;"CEL WANDERLEI PEREIRA DE ALMEIDA"
11;7;2002;"CEL JOSÉ ALBERTO MARQUES DA FONSECA"
12;7;2002;"CEL MARCÍLIO FARIA DA COSTA"
13;7;2002;"TEN CEL SIDNEI COUTINHO TEIXEIRA"
14;7;2002;"CEL JOSÉ CRISPINIANO BELTRÃO LESSA"
15;7;2002;"TEN CEL DINALDO CARNEIRO DE MACEDO"
16;7;2002;"TEN CEL RONALDO ANTONIO DE MENEZES"
17;7;2002;"TEN CEL ALCIDES MENEZES DE AZEVEDO"
18;7;2002;"TEN CEL MARCO AURÉLIO DE MOURA"
19;7;2002;"TEN CEL DARIO CONY DOS SANTOS"
20;7;2002;"CEL FRANCISCO D' AMBRÓSIO"
21;7;2002;"CEL CARLOS ALBERTO VICTORIANO GUEDES"
22;7;2002;"TEN CEL CARLOS AUGUSTO CARRIJO DA SILVA"
23;7;2002;"TEN CEL UBIRATAN DE OLIVEIRA ANGELO"
24;7;2002;"TEN CEL EDUARDO LUIZ DA FONSECA PINTO"
25;7;2002;"TEN CEL ADILSON OLIVEIRA DO NASCIMENTO"
26;7;2002;"CEL ANTONIO CAMILO BRANCO DE FARIA"
27;7;2002;"TEN CEL JOSÉ DE OLIVEIRA PENTEADO"
28;7;2002;"MAJ JOÃO GILBERTO DA SILVA GUIMARAES"
29;7;2002;"TEN CEL JORGE ROMEU PEREIRA DO NASCIMENTO"
30;7;2002;"TEN CEL EDSON EURICO DOS SANTOS"
31;7;2002;"TEN CEL MAURO GONÇALVES TEIXEIRA"
32;7;2002;"TEN CEL MARCOS FALIO CORREA"
33;7;2002;"MAJ HIRAN JORGE FIGUEIREDO DE CARVALHO"
34;7;2002;"MAJ MAURÍCIO SANTOS DE MORAES"
35;7;2002;"MAJ ROMÃO ROBERTO DE MELLO VILAÇA"
36;7;2002;"MAJ WEBER GUTTEMBERG COLLYER"
37;7;2002;"CEL RENATO SILVA HOTTZ"
38;7;2002;"MAJ DALMO SIQUEIRA GOMES"
39;7;2002;"CEL JOSÉ AURÉLIO BRAZUNA MACIEL"
1;8;2002;"TEN CEL JORGE BRAGA"
2;8;2002;"TEN CEL GIOVANI CAROPRESE NETO"
3;8;2002;"TEN CEL PAULO AUGUSTO DO COUTO MOUZINHO"
4;8;2002;"TEN CEL ADILSON THEODORO SOARES"
5;8;2002;"TEN CEL HÉLIO LUIZ AZEVEDO NEVES"
6;8;2002;"TEN CEL FRANCISCO MURILO LEITE LIRA"
7;8;2002;"TEN CEL RICARDO DA SILVEIRA FURTADO"
8;8;2002;"TEN CEL MÁRIO DOS SANTOS PINTO"
9;8;2002;"TEN CEL ANTONIO CARLOS SUARES DAVID"
10;8;2002;"TEN CEL ROSANO AUGUSTO DE SOUZA"
11;8;2002;"TEN CEL OSWALDO AUGUSTO VAZ"
12;8;2002;"CEL MARCÍLIO FARIA DA COSTA"
13;8;2002;"TEN CEL SIDNEI COUTINHO TEIXEIRA"
14;8;2002;"TEN CEL MIGUEL DE ALMEIDA CARLOU"
15;8;2002;"TEN CEL DINALDO CARNEIRO DE MACEDO"
16;8;2002;"TEN CEL RONALDO ANTONIO DE MENEZES"
17;8;2002;"TEN CEL ALCIDES MENEZES DE AZEVEDO"
18;8;2002;"TEN CEL MARCO AURÉLIO DE MOURA"
19;8;2002;"TEN CEL DARIO CONY DOS SANTOS"
20;8;2002;"CEL FRANCISCO D' AMBRÓSIO"
21;8;2002;"CEL CARLOS ALBERTO VICTORIANO GUEDES"
22;8;2002;"TEN CEL CARLOS AUGUSTO CARRIJO DA SILVA"
23;8;2002;"TEN CEL UBIRATAN DE OLIVEIRA ANGELO"
24;8;2002;"TEN CEL EDUARDO LUIZ DA FONSECA PINTO"
25;8;2002;"TEN CEL ADILSON OLIVEIRA DO NASCIMENTO"
26;8;2002;"TEN CEL LUIZ CARLOS DE OLIVEIRA"
27;8;2002;"TEN CEL JOSÉ DE OLIVEIRA PENTEADO"
28;8;2002;"CEL RENATO SILVA HOTTZ"
29;8;2002;"TEN CEL JORGE ROMEU PEREIRA DO NASCIMENTO"
30;8;2002;"TEN CEL EDSON EURICO DOS SANTOS"
31;8;2002;"TEN CEL MAURO GONÇALVES TEIXEIRA"
32;8;2002;"TEN CEL MARCOS FALIO CORREA"
33;8;2002;"MAJ HIRAN JORGE FIGUEIREDO DE CARVALHO"
34;8;2002;"MAJ MAURÍCIO SANTOS DE MORAES"
35;8;2002;"TEN CEL ROMÃO ROBERTO DE MELLO VILAÇA"
36;8;2002;"TEN CEL WEBER GUTTEMBERG COLLYER"
37;8;2002;"MAJ JOÃO GILBERTO DA SILVA GUIMARAES"
38;8;2002;"MAJ DALMO SIQUEIRA GOMES"
39;8;2002;"CEL JOSÉ AURÉLIO BRAZUNA MACIEL"
1;9;2002;"TEN CEL JORGE BRAGA"
