ano;mes;circ;nome_delegado_dp
2002;6;1;Rogério Marchesini Franco
2002;6;4;Sergio C. Fructuoso
2002;6;5;Gilberto da Cruz Ribeiro
2002;6;6;Ronald Mendes Coelho
2002;6;7;Oswaldo Luís Cupello
2002;6;9;Antônio Carlos Fonseca Calazans
2002;6;10;Antonio Carlos de A. Rocha
2002;6;12;Heitor de Souza Gonçalves
2002;6;13;Ivo Raposo
2002;6;14;Napoleão Salgado
2002;6;15;Carlos Alberto N. Pinto
2002;6;16;Carlos Alberto de Andrade Souza
2002;6;17;José Renato T. do Nascimento 
2002;6;18;Gilson Dantas Nascimento
2002;6;19;Jorge Campos
2002;6;20;Herald Paquete Espínola Filho
2002;6;21;Humberto Sampaio Guimarães
2002;6;22;Sergio Rogério da CostaFalante
2002;6;23;Luiz Archimedes
2002;6;24;Alvaro Campos de Assis Costa
2002;6;25;Mário de Freitas Azevedo
2002;6;27;Eduardo Gomes Novellino
2002;6;28;Ubiracy Bloonfield Fernandes
2002;6;29;Juber Alves Baesso
2002;6;30;José Otílio Bezerra  
2002;6;31;Ronald Mendes Coelho
2002;6;32;Luiz Omena de Oliveira
2002;6;33;Oswaldo Luís Cupello
2002;6;34;Antônio Carlos Fonseca Calazans
2002;6;35;Leonilson S. Ribeiro
2002;6;36;Bismark da Costa Sant'Anna
2002;6;37;Georges Toth
2002;6;38;Reginaldo Guilherme da Silva
2002;6;39;Eli Alves de Andrade
2002;6;40;Henrique Sampaio Guimarães Jr.
2002;6;41;Elir Clarindo Santos
2002;6;44;Emerson Franco Rocha
2002;6;48;Renato Soares Vieira
2002;6;50;Anderson Ribeiro Pinto
2002;6;51;Julio C. Vasconcellos Costa
2002;6;52;Ronaldo Aguiar Pereira
2002;6;53;José F. de Resende
2002;6;54;Daniel José B. de M. Gomes
2002;6;55;João Luiz Garcia de A. e Costa
2002;6;56;José Januário de Freitas
2002;6;57;Átila Lafere Mesquita
2002;6;58;José Afonso Mota
2002;6;59;Wilson Raimundo de Melo
2002;6;60;Adriana Cardoso Belém Pires
2002;6;61;Evandro Francisco de Farias
2002;6;62;Roberto Martins
2002;6;64;Jorge L. Dieguez Cavalcante
2002;6;65;Ronald da Silva Adolfo Hurst
2002;6;66;Elaine Di Stasio Villar
2002;6;71;Allan Turnowski
2002;6;72;Luiz Carlos Tucher
2002;6;73;Nilton Coelho da Gama
2002;6;74;Luis Carlos Rubens dos Santos
2002;6;75;Clóvis Souza Moreira
2002;6;76;José Renato M. Chernicharo
2002;6;77;Claudio Emmer Azeredo
2002;6;78;Luiz Carlos S. Franco
2002;6;79;Nerval Antônio F. Goulart
2002;6;81;Uzias Cláudio Vasconcelos
2002;6;82;Monique Vidal S Muniz
2002;6;88;Carlos Alexandre Leite Justino
2002;6;89;Nicolau Matuh Júnior
2002;6;90;Marco Antônio de Almeida Alves
2002;6;91;Cândido Luiz Ribeiro
2002;6;92;Belizário Pereira de Oliveira
2002;6;93;Marcus Antonio N. Pereira
2002;6;94;Nilton Pereira Santos Silva
2002;6;95;José Soares dos Santos 
2002;6;96;Altair Pereira Queiroz
2002;6;97;Hermano Augusto Rocha
2002;6;98;Luiz Fernando Nader Dmasceno
2002;6;99;Nilton de Almeida
2002;6;100;Rodrigo Miguel Ferrari 
2002;6;104;Roldenir Alves Cravo
2002;6;105;Murilo Silva Montanha
2002;6;106;José Pedro C. da Silva
2002;6;107;Alexandre Ziehe
2002;6;108;Mário Roberto Arruda
2002;6;109;Salatiel da Silva Costa
2002;6;110;Luiz Antônio Ferreira
2002;6;111;Carla Vargas de Oliveira
2002;6;112;Nei Roberto Ramos Loureiro
2002;6;118;Carlos Alberto Ramos da Silva
2002;6;119;Luciano Coelho dos Santos
2002;6;120;Geraldo Assed Estefan
2002;6;121;Adalberto Chagas
2002;6;122;Hugo Werneck Campos
2002;6;123;Jorge Luiz da Silva Veloso
2002;6;124;Juaraci R. Cardoso Vieira
2002;6;125;Claudia Maria F. G. R. Nogueira
2002;6;126;Jardiel  Santos de Mello
2002;6;127;José Carlos Bechara Gomes
2002;6;128;Sergio João Lorenzi
2002;6;129;José Geraldo S. Araújo
2002;6;134;Aglásio Batista Novais Filho
2002;6;135;Cláudio Saroudi Coelho
2002;6;136;Carlos Eduardo D. Teixeira
2002;6;137;Carlos Alberto de Andrade Souza
2002;6;138;Marcio Caldas Dias Mello
2002;6;139;Uiliam Rodrigues Costa
2002;6;140;Gesner Cesar Bruno
2002;6;141;Luis Mauríco Armond Campos
2002;6;142;Cláudio Saroudi Coelho
2002;6;143;Luiz Augusto C. Souza
2002;6;144; Renato José M. Perez  
2002;6;145;Joaquim Teixeira Couto
2002;6;146;Octacílio Carvalho Mendes
2002;6;151;Guerlan Oliveira de Morais
