DATAHORA;ORDEM;LINHA;LATITUDE;LONGITUDE;VELOCIDADE
03-17-2019 00:02:19;D53564;;-22.88401;-43.496181;0.0
03-17-2019 00:11:12;A29133;;-22.86846;-43.292191;0.0
03-17-2019 00:11:45;D13271;926.0;-22.883421;-43.552509;0.0
03-17-2019 00:13:23;A27548;433.0;-22.920271;-43.255779;0.0
03-17-2019 00:21:25;A27519;;-22.92078;-43.256241;0.0
03-17-2019 00:22:14;D53533;;-22.88339;-43.494751;0.0
03-17-2019 00:22:30;A27674;433.0;-22.92095;-43.25584;0.0
03-17-2019 00:30:35;A29160;209.0;-22.86804;-43.291771;0.0
03-17-2019 00:34:43;D12165;;-22.849369;-43.76725;0.0
03-17-2019 00:34:51;D53568;;-22.883261;-43.49511;0.0
03-17-2019 00:35:36;A29002;;-22.868589;-43.29216;0.0
03-17-2019 00:37:14;A27619;439.0;-22.920151;-43.256512;0.0
03-17-2019 00:45:39;A27643;439.0;-22.92054;-43.256439;0.0
03-17-2019 00:48:20;D53506;;-22.88397;-43.495049;0.0
03-17-2019 00:48:37;D53518;;-22.88356;-43.495899;0.0
03-17-2019 00:49:30;D53570;;-22.88401;-43.495899;1.0
03-17-2019 00:49:58;A29129;;-22.86833;-43.29314;0.0
03-17-2019 00:50:28;D53600;;-22.88372;-43.495171;0.0
03-17-2019 00:53:35;D53691;;-22.88405;-43.496189;0.0
03-17-2019 00:54:46;D53726;846.0;-22.883169;-43.495159;0.0
03-17-2019 00:56:56;A27603;439.0;-22.919889;-43.256538;0.0
03-17-2019 00:57:14;D53538;;-22.883801;-43.49601;0.0
03-17-2019 00:57:33;D53551;;-22.883881;-43.49596;0.0
03-17-2019 00:58:51;A29008;471.0;-22.86871;-43.292568;0.0
03-17-2019 00:59:07;A27606;433.0;-22.91873;-43.256088;22.0
03-17-2019 01:01:41;B27056;292.0;-22.82012;-43.30574;60.0
03-17-2019 01:02:15;D86700;2804.0;-22.894011;-43.532681;0.0
03-17-2019 01:05:06;A27575;439.0;-22.92054;-43.256489;0.0
03-17-2019 01:06:03;A27677;433.0;-22.919941;-43.256569;0.0
03-17-2019 01:07:43;A29027;;-22.868271;-43.293072;0.0
03-17-2019 01:17:24;D53609;;-22.902411;-43.1828;45.0
03-17-2019 01:18:41;A29164;;-22.868071;-43.291931;0.0
03-17-2019 01:22:29;D53629;;-22.88282;-43.495239;32.0
03-17-2019 01:23:47;D13318;SV790;-22.884439;-43.552792;0.0
03-17-2019 01:25:38;A27543;439.0;-22.91984;-43.256538;0.0
03-17-2019 01:26:56;C30158;LECD23;-22.87986;-43.35704;6.0
03-17-2019 01:27:51;A29076;473.0;-22.867901;-43.29142;0.0
03-17-2019 01:33:34;A29103;472.0;-22.868;-43.29052;0.0
03-17-2019 01:35:06;A27605;548.0;-22.9203;-43.25639;0.0
03-17-2019 01:35:29;A27684;432.0;-22.921049;-43.256351;0.0
03-17-2019 01:47:08;D17003;842.0;-22.91795;-43.607948;0.0
03-17-2019 01:50:43;A27613;432.0;-22.92041;-43.25647;0.0
03-17-2019 01:52:13;A27680;433.0;-22.921101;-43.256142;0.0
03-17-2019 01:55:44;D53738;846.0;-22.883129;-43.495152;0.0
03-17-2019 01:56:35;D86795;;-22.89502;-43.532349;0.0
03-17-2019 02:12:19;A27550;433.0;-22.92028;-43.256168;0.0
03-17-2019 02:13:18;A27638;102.0;-22.92029;-43.256199;0.0
03-17-2019 02:13:53;D13322;745.0;-22.876301;-43.420158;0.0
03-17-2019 02:19:00;A27614;433.0;-22.920401;-43.256062;0.0
03-17-2019 02:20:17;A27630;433.0;-22.92028;-43.256088;0.0
03-17-2019 02:20:28;A29167;SV474;-22.868071;-43.291908;0.0
03-17-2019 02:25:33;B58174;;-22.83703;-43.287281;26.0
03-17-2019 02:28:00;D53605;;-22.90288;-43.184441;38.0
03-17-2019 02:32:53;A27571;432.0;-22.92024;-43.256229;0.0
03-17-2019 02:39:05;A29007;;-22.868629;-43.292709;0.0
03-17-2019 02:51:27;A29175;;-22.86879;-43.291531;0.0
03-17-2019 02:52:42;A27663;432.0;-22.92021;-43.256062;0.0
03-17-2019 02:53:44;A29084;471.0;-22.867741;-43.290878;0.0
03-17-2019 02:54:28;A29154;SV474;-22.86796;-43.291531;0.0
03-17-2019 02:59:52;B58073;;-22.837931;-43.28516;18.0
03-17-2019 03:07:19;A29146;;-22.868361;-43.291889;0.0
03-17-2019 03:15:13;C30241;550.0;-22.879339;-43.356541;18.0
03-17-2019 03:17:51;A29075;SV474;-22.86788;-43.291519;0.0
03-17-2019 03:25:48;B31024;;-22.80563;-43.306931;36.0
03-17-2019 03:27:50;D17045;885.0;-22.918751;-43.608429;0.0
03-17-2019 03:34:14;C47881;;-22.96439;-43.35807;55.0
03-17-2019 03:42:08;A29003;473.0;-22.86867;-43.29253;0.0
03-17-2019 03:42:55;D13284;;-22.87558;-43.419579;0.0
03-17-2019 03:47:14;A29185;583.0;-22.86833;-43.29298;0.0
03-17-2019 03:48:22;D53727;846.0;-22.88324;-43.495152;2.0
03-17-2019 03:50:01;A29110;;-22.867741;-43.2906;0.0
03-17-2019 03:54:16;B10170;327.0;-22.815107;-43.187107;0.0
03-17-2019 03:55:42;A29148;;-22.86755;-43.292912;18.0
03-17-2019 04:00:24;D53531;;-22.883699;-43.49501;6.0
03-17-2019 04:00:45;A41157;112.0;-22.857861;-43.24416;0.0
03-17-2019 04:05:45;A29015;;-22.86846;-43.29332;0.0
03-17-2019 04:08:37;B32536;615.0;-22.81679;-43.393879;0.0
03-17-2019 04:15:03;B27039;;-22.81694;-43.301102;0.0
03-17-2019 04:18:31;A29178;471.0;-22.868219;-43.29253;0.0
03-17-2019 04:19:47;B44631;685.0;-22.862169;-43.355431;36.0
03-17-2019 04:26:40;A29040;;-22.86821;-43.292561;0.0
03-17-2019 04:28:29;B32713;779.0;-22.816389;-43.394341;0.0
03-17-2019 04:30:54;B32722;779.0;-22.815941;-43.3946;0.0
03-17-2019 04:35:10;B31057;;-22.806;-43.30835;31.0
03-17-2019 04:43:33;D86285;;-22.8563;-43.493351;5.0
03-17-2019 04:45:40;A29065;SV474;-22.867941;-43.291809;0.0
03-17-2019 04:47:06;D86108;916.0;-22.906931;-43.57394;0.0
03-17-2019 04:55:19;A29050;;-22.86812;-43.29232;0.0
03-17-2019 04:56:09;D53642;759.0;-22.883789;-43.495499;0.0
03-17-2019 04:59:18;B42662;;-22.8764;-43.329498;0.0
03-17-2019 05:00:57;B32551;342.0;-22.81599;-43.394711;0.0
03-17-2019 05:01:05;A27647;432.0;-22.920561;-43.25634;0.0
03-17-2019 05:02:36;A29005;471.0;-22.86834;-43.290981;0.0
03-17-2019 05:08:15;C13065;878.0;-22.878241;-43.491982;0.0
03-17-2019 05:14:47;D53559;17.0;-22.88406;-43.495861;0.0
03-17-2019 05:24:16;D53591;;-22.88413;-43.495899;0.0
03-17-2019 05:26:29;A29136;;-22.868299;-43.290871;0.0
03-17-2019 05:30:52;D53590;;-22.883671;-43.49596;0.0
03-17-2019 05:31:23;D53631;;-22.88402;-43.495491;0.0
03-17-2019 05:34:09;B42517;;-22.876499;-43.329571;1.0
03-17-2019 05:35:30;D13147;394.0;-22.87653;-43.419521;0.0
03-17-2019 05:35:41;D53669;;-22.883949;-43.495499;0.0
03-17-2019 05:35:43;D53628;786.0;-22.88188;-43.497231;25.0
03-17-2019 05:37:28;A29106;;-22.868719;-43.291451;0.0
03-17-2019 05:40:17;D53589;;-22.884411;-43.49456;0.0
03-17-2019 05:40:18;D53633;;-22.883841;-43.495972;0.0
03-17-2019 05:46:37;D53654;;-22.883921;-43.495789;0.0
03-17-2019 05:51:53;C13048;878.0;-22.878349;-43.492401;21.0
03-17-2019 05:53:29;D53582;;-22.88402;-43.495789;0.0
03-17-2019 05:57:00;D17016;;-22.91748;-43.607738;0.0
03-17-2019 05:58:00;D53585;;-22.883631;-43.495991;0.0
03-17-2019 05:58:23;D53644;;-22.88382;-43.495831;0.0
03-17-2019 06:03:33;D53641;;-22.88369;-43.495609;0.0
03-17-2019 06:06:01;B58098;628.0;-22.68932;-43.471809;17.0
03-17-2019 06:08:05;D53638;759.0;-22.884251;-43.495461;0.0
03-17-2019 06:14:21;A29019;473.0;-22.86828;-43.293362;0.0
03-17-2019 06:16:58;D12132;;-22.849609;-43.767109;0.0
03-17-2019 06:18:26;C30215;;-22.94696;-43.360519;0.0
03-17-2019 06:22:59;B28545;325.0;-22.81493;-43.188431;0.0
03-17-2019 06:36:43;D12102;2303.0;-22.89884;-43.209961;0.0
03-17-2019 06:37:51;D86193;835.0;-22.9016;-43.555611;0.0
03-17-2019 06:38:37;A29117;;-22.86833;-43.29203;0.0
03-17-2019 06:39:17;C47602;;-23.01988;-43.48299;6.0
03-17-2019 06:40:48;B10506;;-22.868219;-43.256989;0.0
03-17-2019 06:42:53;A29009;;-22.868299;-43.291512;0.0
03-17-2019 06:43:19;D17067;;-22.91843;-43.607101;0.0
03-17-2019 06:44:27;B63081;;-22.792629;-43.294369;0.0
03-17-2019 06:44:37;B63085;;-22.86727;-43.258629;0.0
03-17-2019 06:45:00;B71047;247.0;-22.889175;-43.291973;0.0
03-17-2019 06:45:42;B42540;;-22.876539;-43.330471;0.0
03-17-2019 06:46:21;C47637;863.0;-22.95516;-43.337929;7.0
03-17-2019 06:51:24;D17064;;-22.918341;-43.60812;0.0
03-17-2019 06:53:50;C47721;;-22.98311;-43.3316;41.0
