,DATAHORA,ORDEM,LINHA,LATITUDE,LONGITUDE,VELOCIDADE
0,2019-03-17 00:02:19,D53564,,-22.88401,-43.496181,0.0
1,2019-03-17 00:11:12,A29133,,-22.86846,-43.292190999999995,0.0
2,2019-03-17 00:11:45,D13271,926.0,-22.883421,-43.552509,0.0
3,2019-03-17 00:13:23,A27548,433.0,-22.920271,-43.255779,0.0
4,2019-03-17 00:21:25,A27519,,-22.92078,-43.256240999999996,0.0
5,2019-03-17 00:22:14,D53533,,-22.88339,-43.494751,0.0
6,2019-03-17 00:22:30,A27674,433.0,-22.92095,-43.25584,0.0
7,2019-03-17 00:28:21,D87540,895.0,-22.91819,-43.607571,15.0
8,2019-03-17 00:30:35,A29160,209.0,-22.86804,-43.291771000000004,0.0
9,2019-03-17 00:34:43,D12165,,-22.849369,-43.76725,0.0
10,2019-03-17 00:34:51,D53568,,-22.883260999999997,-43.49511,0.0
11,2019-03-17 00:35:36,A29002,,-22.868589,-43.292159999999996,0.0
12,2019-03-17 00:37:14,A27619,439.0,-22.920151,-43.256512,0.0
13,2019-03-17 00:45:39,A27643,439.0,-22.92054,-43.256439,0.0
14,2019-03-17 00:48:20,D53506,,-22.88397,-43.495049,0.0
15,2019-03-17 00:48:37,D53518,,-22.88356,-43.495899,0.0
16,2019-03-17 00:49:30,D53570,,-22.88401,-43.495899,1.0
17,2019-03-17 00:49:58,A29129,,-22.86833,-43.29314,0.0
18,2019-03-17 00:50:28,D53600,,-22.88372,-43.495171,0.0
19,2019-03-17 00:53:35,D53691,,-22.88405,-43.496189,0.0
20,2019-03-17 00:54:46,D53726,846.0,-22.883169,-43.495159,0.0
21,2019-03-17 00:56:56,A27603,439.0,-22.919889,-43.256538,0.0
22,2019-03-17 00:57:14,D53538,,-22.883801000000002,-43.49601,0.0
23,2019-03-17 00:57:33,D53551,,-22.883881,-43.49596,0.0
24,2019-03-17 00:58:51,A29008,471.0,-22.86871,-43.292568,0.0
25,2019-03-17 00:59:07,A27606,433.0,-22.91873,-43.256088,22.0
26,2019-03-17 01:01:41,B27056,292.0,-22.820120000000003,-43.30574,60.0
27,2019-03-17 01:02:15,D86700,2804.0,-22.894011,-43.532681,0.0
28,2019-03-17 01:05:06,A27575,439.0,-22.92054,-43.256489,0.0
29,2019-03-17 01:06:03,A27677,433.0,-22.919941,-43.256569,0.0
30,2019-03-17 01:07:43,A29027,,-22.868271,-43.293071999999995,0.0
31,2019-03-17 01:17:24,D53609,,-22.902410999999997,-43.1828,45.0
32,2019-03-17 01:18:41,A29164,,-22.868071,-43.291931,0.0
33,2019-03-17 01:22:29,D53629,,-22.882820000000002,-43.495239,32.0
34,2019-03-17 01:23:47,D13318,SV790,-22.884439,-43.552792,0.0
35,2019-03-17 01:25:38,A27543,439.0,-22.91984,-43.256538,0.0
36,2019-03-17 01:26:56,C30158,LECD23,-22.87986,-43.357040000000005,6.0
37,2019-03-17 01:27:51,A29076,473.0,-22.867901,-43.29142,0.0
38,2019-03-17 01:33:34,A29103,472.0,-22.868000000000002,-43.29052,0.0
39,2019-03-17 01:35:06,A27605,548.0,-22.9203,-43.25639,0.0
40,2019-03-17 01:35:29,A27684,432.0,-22.921049,-43.256351,0.0
41,2019-03-17 01:47:08,D17003,842.0,-22.91795,-43.607948,0.0
42,2019-03-17 01:50:43,A27613,432.0,-22.92041,-43.25647,0.0
43,2019-03-17 01:52:13,A27680,433.0,-22.921101,-43.256142,0.0
44,2019-03-17 01:55:44,D53738,846.0,-22.883129,-43.495152000000004,0.0
45,2019-03-17 01:56:35,D86795,,-22.895020000000002,-43.532348999999996,0.0
46,2019-03-17 02:12:19,A27550,433.0,-22.920279999999998,-43.256168,0.0
47,2019-03-17 02:13:18,A27638,102.0,-22.920289999999998,-43.256199,0.0
48,2019-03-17 02:13:53,D13322,745.0,-22.876301,-43.420158,0.0
49,2019-03-17 02:19:00,A27614,433.0,-22.920401000000002,-43.256062,0.0
50,2019-03-17 02:20:17,A27630,433.0,-22.920279999999998,-43.256088,0.0
51,2019-03-17 02:20:28,A29167,SV474,-22.868071,-43.291908,0.0
52,2019-03-17 02:25:33,B58174,,-22.83703,-43.287281,26.0
53,2019-03-17 02:28:00,D53605,,-22.90288,-43.184441,38.0
54,2019-03-17 02:32:53,A27571,432.0,-22.92024,-43.256229,0.0
55,2019-03-17 02:39:05,A29007,,-22.868629000000002,-43.292709,0.0
56,2019-03-17 02:42:50,A29142,,-22.868370000000002,-43.292099,0.0
57,2019-03-17 02:51:27,A29175,,-22.86879,-43.291531,0.0
58,2019-03-17 02:52:42,A27663,432.0,-22.92021,-43.256062,0.0
59,2019-03-17 02:53:44,A29084,471.0,-22.867741,-43.290878,0.0
60,2019-03-17 02:54:28,A29154,SV474,-22.86796,-43.291531,0.0
61,2019-03-17 02:59:52,B58073,,-22.837931,-43.28516,18.0
62,2019-03-17 03:07:19,A29146,,-22.868361,-43.291889000000005,0.0
63,2019-03-17 03:15:13,C30241,550.0,-22.879339,-43.356541,18.0
64,2019-03-17 03:17:51,A29075,SV474,-22.86788,-43.291519,0.0
65,2019-03-17 03:25:48,B31024,,-22.805629999999997,-43.306931,36.0
66,2019-03-17 03:27:50,D17045,885.0,-22.918751,-43.608429,0.0
67,2019-03-17 03:34:14,C47881,,-22.964389999999998,-43.35807,55.0
68,2019-03-17 03:42:08,A29003,473.0,-22.86867,-43.29253,0.0
69,2019-03-17 03:42:55,D13284,,-22.87558,-43.419579,0.0
70,2019-03-17 03:47:14,A29185,583.0,-22.86833,-43.29298,0.0
71,2019-03-17 03:48:22,D53727,846.0,-22.88324,-43.495152000000004,2.0
